Time,t2m_M,q2m_M,rh2m_M,w10m_M,d10m_M,u10m_M,v10m_M,SWD_M,GLW_M,HFX_M,LH_M,RAIN_M,PBLH_M,TC975_M,TC925_M,TC850_M,TC700_M,TC500_M,wspd975_M,wspd925_M,wspd850_M,wspd700_M,wspd500_M,Q975_M,Q925_M,Q850_M,Q700_M,Q500_M,psur_obs,t2m_obs,q2m_obs,w10m_obs,d10m_obs,rh2m_obs,u10m_obs,v10m_obs,RAIN_obs,psfc_M,t2m_prophet,rh2m_prophet,w10m_prophet
2018-08-29 00:00:00,29.352,12.763538,47.75899999999999,0.932,14.092,-0.21688882,-0.9064123,0.0,0.0,0.0,0.0,0.0,0.0,26.911,22.252,14.925999999999998,6.405,-6.724,2.911,1.331,4.444,8.24,16.016,0.01,9.702,8.941,4.0139999999999985,0.8440000000000001,972.4,27.6,9.827012,2.1,24.0,41.0,-0.8541469,-1.918445,0.0,966.651,24.364117794149408,65.52575835338831,1.551334872195703
2018-08-29 01:00:00,27.78,10.544819,43.24800000000001,1.63,18.016,-0.48211318,-1.5570700000000002,873.9889999999998,362.614,124.635,413.694,0.0,1523.2579999999996,27.634,23.236,16.302,6.605,-6.987,3.184,2.8160000000000003,4.46,8.913,15.018,0.01,9.296,9.072,4.004,0.957,971.8,28.6,9.421589,4.4,21.0,37.0,-1.576819,-4.107754,0.0,966.199,26.274601164337916,60.042045322842036,2.053518394354703
2018-08-29 02:00:00,28.516,10.674776,41.949,2.091,40.846,-1.3160524,-1.624896,866.0039999999998,366.574,117.545,422.121,0.0,1591.057,28.373,23.985,17.124000000000002,6.905,-7.254,1.345,3.0580000000000003,4.582,8.591000000000001,14.43,0.01,9.366,9.101,3.773,0.99,971.4,29.3,9.550521,3.2,10.0,36.0,-0.5556741,-3.151385,0.0,966.062,27.439898714896444,57.33749218153949,2.5717351556315147
2018-08-29 03:00:00,29.167,10.7295475,40.526,2.185,40.329,-1.3605333999999998,-1.7097291,797.956,370.733,93.328,401.394,0.0,1825.795,29.169,24.87,17.942999999999994,7.002999999999999,-7.021,3.685,3.268,4.644,10.045,14.125,0.01,9.331,9.064,3.796,1.376,970.9,30.1,8.914756,2.4,332.0,32.0,1.126733,-2.1190740000000003,0.0,964.335,27.980899065257677,56.431342224422465,3.0316517339885745
2018-08-29 04:00:00,29.747,10.679787,38.994,2.187,37.191,-1.270457,-1.7801427,672.6160000000001,377.062,56.03100000000001,353.33,0.0,2006.649,29.84,25.586,18.579,6.151,-6.506,2.855,3.4360000000000004,4.604,10.588,14.214,0.01,9.173,8.934,5.235,1.94,970.3,30.2,8.949944,3.4,358.0,32.0,0.1186603,-3.397929,0.0,964.428,28.034701916146307,56.4540527510069,3.3301869235427253
2018-08-29 05:00:00,29.857,10.825994,39.172,1.994,38.355,-1.1896079,-1.6002715,503.794,380.787,18.794,272.682,0.0,1815.048,30.106,25.912,18.87,5.697,-6.5539999999999985,5.506,3.043,3.994,9.742,15.158,0.01,9.108,8.907,6.572,2.234,970.1,30.6,9.469374,2.5,7.0,33.0,-0.3046733,-2.4813650000000003,0.0,964.478,27.63600450785959,57.312295614432784,3.3647841399448932
2018-08-29 06:00:00,29.323,11.745254,43.947,1.769,61.022,-1.5046258,-0.93030214,306.331,382.195,-7.359,163.27,0.0,799.182,29.912,25.861,18.904,5.972,-7.198,7.405,3.0380000000000003,3.494,8.748,14.81,0.01,9.304,9.14,6.655,2.198,970.1,30.1,9.753948,2.1,40.0,35.0,-1.349854,-1.608693,0.0,964.797,26.76582062056175,59.44948082984989,3.096417541349675
2018-08-29 07:00:00,26.696,14.64869,63.99,0.89,58.635,-0.7377765000000001,-0.49778083,102.844,380.824,-7.9129999999999985,34.648,0.0,62.488,29.28,25.842,18.862,5.902,-6.705,7.912000000000001,3.551,4.346,8.181000000000001,15.519,0.01,9.301,9.212,6.968,2.198,970.3,28.8,10.04397,0.9,85.0,39.0,-0.8965752,-0.07844022,0.0,964.496,25.477579268467412,63.09516100055251,2.597071524195881
2018-08-29 08:00:00,22.998,11.423894,62.46,0.884,190.172,0.024696276,0.883655,0.0,375.557,-14.209,3.431,0.0,41.758,27.085,25.238000000000003,18.643,5.956,-5.871,3.991,3.448,4.849,7.5939999999999985,15.376,0.01,9.72,9.183,6.301,1.821,970.9,26.5,11.24761,1.8,199.0,50.0,0.586022,1.701934,0.0,965.133,23.94984434376648,67.80655610049159,2.03074160889818
2018-08-29 09:00:00,22.183000000000003,10.616503,61.012,1.491,124.749,-1.3024586,0.7257289000000001,0.0,370.721,-14.593,3.803,0.0,58.17,26.039,24.091,18.312,5.54,-6.273,4.144,2.296,5.484,6.805,15.47,0.01,9.654,8.992,6.506,1.776,971.8,23.4,11.71783,0.7,228.0,63.0,0.5202013,0.4683915,0.0,966.127,22.4088948016709,72.71581966740462,1.567688530474672
