Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,20.8,58.0,1.4,29.331,45.298,2.128
20180829_01,22.2,54.0,1.8,26.651,38.244,2.545
20180829_02,22.3,53.0,1.4,27.506,36.659,1.888
20180829_03,22.5,52.0,0.6,28.154,35.01,1.717
20180829_04,24.4,49.0,1.4,28.476,34.368,1.958
20180829_05,23.4,59.0,2.7,28.465,35.31,2.416
20180829_06,22.1,58.0,3.8,26.495,44.753,2.744
20180829_07,19.0,64.0,3.0,24.805,62.137,1.24
20180829_08,18.6,67.0,3.5,20.001,69.932,0.67
20180829_09,18.5,66.0,3.4,19.538,68.201,0.821
20180829_10,18.5,64.0,3.2,20.62,62.875,1.356
20180829_11,18.4,66.0,2.8,21.395,57.759,2.89
20180829_12,17.3,78.0,2.8,22.357,51.874,3.982
20180829_13,17.3,77.0,2.9,20.764,55.93,2.845
20180829_14,17.3,75.0,2.5,20.729,53.742,3.071
20180829_15,17.3,75.0,1.7,20.422,54.767,2.91
20180829_16,17.2,75.0,2.9,18.261,61.198,2.628
20180829_17,17.1,75.0,2.3,19.699,55.339,3.391
20180829_18,17.2,73.0,1.3,19.149,57.784,4.175
20180829_19,16.9,75.0,0.8,18.545,60.501,3.958
20180829_20,15.3,92.0,2.0,19.712,59.244,4.182
20180829_21,15.1,91.0,1.4,21.049,55.687,4.073
20180829_22,15.4,96.0,1.2,22.283,52.075,2.648
20180829_23,14.9,96.0,3.3,23.075,51.497,2.03
20180829_24,15.4,96.0,1.7,23.809,50.97,2.441
20180829_25,16.4,89.0,2.0,23.94,52.989,2.693
20180829_26,17.2,87.0,2.6,24.193,53.544,2.643
20180829_27,18.0,81.0,2.9,24.595,52.545,2.069
20180829_28,18.8,80.0,3.6,24.505,54.578,2.935
20180829_29,19.0,74.0,4.8,23.428,60.612,2.815
20180829_30,18.5,73.0,3.8,23.49,61.623,2.58
20180829_31,17.6,82.0,4.7,22.598,68.094,2.482
20180829_32,15.6,91.0,4.1,18.649,83.373,0.851
20180829_33,15.4,89.0,3.9,18.064,83.933,0.76
20180829_34,15.1,91.0,4.3,17.909,82.462,0.767
20180829_35,15.1,94.0,3.4,17.666,82.726,0.632
20180829_36,15.0,95.0,4.1,17.321,83.858,1.543
20180830_00,15.4,96.0,1.7,24.652,67.02,2.134
20180830_01,16.4,89.0,2.0,19.99,80.239,2.17
20180830_02,17.2,87.0,2.6,19.966,80.628,2.231
20180830_03,18.0,81.0,2.9,20.529,77.941,2.827
20180830_04,18.8,80.0,3.6,21.172,74.413,3.358
20180830_05,19.0,74.0,4.8,22.075,68.781,2.839
20180830_06,18.5,73.0,3.8,22.201,67.375,2.581
20180830_07,17.6,82.0,4.7,21.469,71.957,1.887
20180830_08,15.6,91.0,4.1,17.349,86.88,1.365
20180830_09,15.4,89.0,3.9,16.539,89.055,0.879
20180830_10,15.1,91.0,4.3,18.306,82.164,0.737
20180830_11,15.1,94.0,3.4,16.552,88.334,0.684
20180830_12,15.0,95.0,4.1,16.398,86.643,0.532
20180830_13,15.4,89.0,1.4,16.776,85.931,0.665
20180830_14,14.0,92.0,3.2,16.03,86.386,1.02
20180830_15,13.9,96.0,4.6,15.7,85.93,1.677
20180830_16,14.0,94.0,4.1,15.525,86.142,2.188
20180830_17,14.8,91.0,5.0,15.791,85.084,2.929
20180830_18,13.8,93.0,2.6,15.657,84.766,2.958
20180830_19,13.2,96.0,5.6,15.491,84.394,3.063
20180830_20,14.7,97.0,5.5,18.506,75.653,3.322
20180830_21,16.6,85.0,4.7,20.282,69.713,2.877
20180830_22,18.3,77.0,5.8,21.584,66.597,3.017
20180830_23,20.9,75.0,3.9,22.743,62.278,2.506
20180830_24,21.3,69.0,1.9,23.332,59.056,2.554
20180830_25,22.8,64.0,4.5,24.161,54.166,2.461
20180830_26,22.1,61.0,1.5,24.341,55.213,3.212
20180830_27,22.6,63.0,1.5,22.81,62.629,1.757
20180830_28,20.2,68.0,2.5,23.074,59.865,2.563
20180830_29,19.9,69.0,2.7,23.525,59.609,2.385
20180830_30,19.9,68.0,1.8,23.497,60.512,3.209
20180830_31,18.7,73.0,2.9,22.092,68.291,2.677
20180830_32,17.1,82.0,3.3,17.88,82.582,0.678
20180830_33,16.9,84.0,3.1,17.57,80.822,1.096
20180830_34,16.4,86.0,2.4,17.329,80.397,1.249
20180830_35,16.1,86.0,3.2,16.865,81.14,1.375
20180830_36,15.7,90.0,3.0,16.56,83.103,1.379
20180831_00,21.3,69.0,1.9,28.38,55.717,1.913
20180831_01,22.8,64.0,4.5,24.188,56.772,4.798
20180831_02,22.1,61.0,1.5,24.508,55.469,3.937
20180831_03,22.6,63.0,1.5,23.806,58.132,3.407
20180831_04,20.2,68.0,2.5,23.48,58.856,2.742
20180831_05,19.9,69.0,2.7,23.499,59.048,2.879
20180831_06,19.9,68.0,1.8,23.768,58.352,3.635
20180831_07,18.7,73.0,2.9,22.129,67.623,2.666
20180831_08,17.1,82.0,3.3,18.467,82.685,1.255
20180831_09,16.9,84.0,3.1,17.386,82.799,1.415
20180831_10,16.4,86.0,2.4,17.369,82.89,1.763
20180831_11,16.1,86.0,3.2,17.329,83.166,1.701
20180831_12,15.7,90.0,3.0,17.264,82.588,1.613
20180831_13,15.8,93.0,3.5,17.008,83.518,1.746
20180831_14,15.8,92.0,2.1,17.377,81.882,1.192
20180831_15,15.5,95.0,2.2,17.106,81.559,2.221
20180831_16,15.5,96.0,2.3,17.184,84.529,1.678
20180831_17,15.4,97.0,2.3,17.516,85.116,0.639
20180831_18,15.3,97.0,3.5,16.935,92.459,0.792
20180831_19,15.0,98.0,3.6,17.055,94.73,0.656
20180831_20,15.2,98.0,2.0,17.209,95.155,0.747
20180831_21,15.5,98.0,0.7,17.932,90.197,0.898
20180831_22,16.8,90.0,1.8,18.273,87.654,1.622
20180831_23,18.2,82.0,2.6,18.715,83.88,2.454
20180831_24,17.7,86.0,2.7,20.366,70.941,3.81
20180831_25,17.6,82.0,2.3,20.664,67.993,4.528
20180831_26,16.2,90.0,3.1,21.569,68.172,4.516
20180831_27,15.5,95.0,3.1,19.006,85.103,2.532
20180831_28,15.5,97.0,2.4,18.503,91.12,2.2
20180831_29,15.6,97.0,2.3,19.689,83.375,2.813
20180831_30,15.7,92.0,2.3,18.652,87.346,1.68
20180831_31,15.4,90.0,3.1,17.815,94.571,1.444
20180831_32,14.8,90.0,1.8,17.308,89.451,2.566
20180831_33,14.4,83.0,2.3,16.512,90.426,1.573
20180831_34,14.7,80.0,1.9,16.653,92.539,1.618
20180831_35,14.3,85.0,3.7,16.699,91.773,1.881
20180831_36,14.0,96.0,3.3,16.58,92.069,2.74
20180901_00,17.7,86.0,2.7,24.276,69.003,3.065
20180901_01,17.6,82.0,2.3,19.949,76.964,4.59
20180901_02,16.2,90.0,3.1,19.923,79.646,4.498
20180901_03,15.5,95.0,3.1,19.334,84.803,3.245
20180901_04,15.5,97.0,2.4,19.03,88.246,2.8
20180901_05,15.6,97.0,2.3,18.622,90.345,3.164
20180901_06,15.7,92.0,2.3,18.431,93.054,2.68
20180901_07,15.4,90.0,3.1,18.096,96.744,1.885
20180901_08,14.8,90.0,1.8,17.99,98.392,3.26
20180901_09,14.4,83.0,2.3,18.061,98.202,3.175
20180901_10,14.7,80.0,1.9,18.102,97.706,3.756
20180901_11,14.3,85.0,3.7,18.064,97.442,3.495
20180901_12,14.0,96.0,3.3,17.787,98.118,3.143
20180901_13,14.3,97.0,2.8,17.187,99.578,3.657
20180901_14,14.2,98.0,2.1,16.683,98.714,4.395
