iter	RMSE
0	2.647682202
1	2.580316977
2	2.51530027
3	2.452403429
4	2.39169731
5	2.333163082
6	2.276691109
7	2.22208848
8	2.169332441
9	2.118482461
10	2.069426596
11	2.022136782
12	1.976492387
13	1.932498389
14	1.890202932
15	1.849401072
16	1.810163316
17	1.772427455
18	1.735972243
19	1.701018013
20	1.66735731
21	1.634981091
22	1.60388041
23	1.574022454
24	1.545391012
25	1.517867274
26	1.491436543
27	1.466133028
28	1.441859043
29	1.418538793
30	1.396216855
31	1.374918121
32	1.354502889
33	1.334902949
34	1.316200483
35	1.298210954
36	1.281080061
37	1.264677065
38	1.249008979
39	1.23406233
40	1.219812747
41	1.206222575
42	1.193205822
43	1.180811088
44	1.168948226
45	1.157649547
46	1.14689809
47	1.136593358
48	1.126849512
49	1.117536002
50	1.108703805
51	1.100257178
52	1.092180932
53	1.08450938
54	1.077266358
55	1.070368209
56	1.063780145
57	1.05747379
58	1.051575452
59	1.045879364
60	1.040507455
61	1.035401717
62	1.030552396
63	1.025928161
64	1.021525246
65	1.017354162
66	1.013345277
67	1.009598024
68	1.005853173
69	1.00236432
70	0.999112955
71	0.9959436691
72	0.9929875851
73	0.9902407422
74	0.9876142848
75	0.985104751
76	0.9826887537
77	0.9804155459
78	0.9782536751
79	0.9761942244
80	0.9741611871
81	0.9722611109
82	0.9705337594
83	0.9688350026
84	0.9671109807
85	0.9655861663
86	0.9641102475
87	0.9627055802
88	0.9613863544
89	0.9599844542
90	0.958721658
91	0.9575170949
92	0.9563685765
93	0.9552443241
94	0.9542211505
95	0.9532651619
96	0.9523146311
97	0.9513938765
98	0.9505582664
99	0.9497405141
100	0.9489427334
101	0.9481071053
102	0.9473998678
103	0.9467675576
104	0.9461187045
105	0.9454984771
106	0.9448955908
107	0.944274697
108	0.9436687358
109	0.9430582627
110	0.9424718149
111	0.9419547737
112	0.9414191252
113	0.94098356
114	0.9404486452
115	0.9400284967
116	0.9396453672
117	0.9392344422
118	0.9388562677
119	0.9384410338
120	0.93809398
121	0.9377178316
122	0.937347375
123	0.9369865482
124	0.9366774267
125	0.93638946
126	0.9360105301
127	0.9356941617
128	0.9354435698
129	0.9350891061
130	0.934660951
131	0.9344122839
132	0.9341601405
133	0.933930474
134	0.9336852812
135	0.9334276669
136	0.9331866158
137	0.9328155051
138	0.9325985949
139	0.9323926369
140	0.932190175
141	0.9319767546
142	0.93171276
143	0.9314865818
144	0.931261352
145	0.930987121
146	0.9308339999
147	0.9306523947
148	0.9305095273
149	0.9303776758
150	0.9301999867
151	0.9300156845
152	0.9297647955
153	0.9295851705
154	0.9294000899
155	0.9292534601
156	0.929073613
157	0.9288802387
158	0.9287687262
159	0.9286107318
160	0.9284379849
161	0.9283241035
162	0.9281689747
163	0.9280518553
164	0.9279274449
165	0.9277312026
166	0.9276492344
167	0.9274902253
168	0.9273396724
169	0.9271574707
170	0.9270403923
171	0.9269185228
172	0.9267853705
173	0.9266531108
174	0.9265648989
175	0.9264313052
176	0.9263305279
177	0.9261661277
178	0.9260232076
179	0.9259017186
180	0.9257276682
181	0.925635354
182	0.9254780696
183	0.9253761936
184	0.9252623802
185	0.9250858524
186	0.9249051502
187	0.9248126254
188	0.9247112764
189	0.9245965946
190	0.9245126886
191	0.9243742095
192	0.9242192271
193	0.9241079688
194	0.9239290192
195	0.9238061614
196	0.923752346
197	0.9236834633
198	0.9235784164
199	0.9234503577
200	0.923355626
201	0.9232990607
202	0.9231804038
203	0.9230453729
204	0.9229169996
205	0.9228491783
206	0.9227025048
207	0.9226169172
208	0.9224885305
209	0.9223763093
210	0.9222964066
211	0.9221665677
212	0.9220628196
213	0.9220156568
214	0.9218660078
215	0.9217859498
216	0.9216856549
217	0.9215986601
218	0.9215332125
219	0.9214836526
220	0.9214084926
221	0.9213047414
222	0.921150244
223	0.9210559961
224	0.9209598939
225	0.9208841782
226	0.9207274517
227	0.9206703604
228	0.9205914597
229	0.9205202587
230	0.9204460413
231	0.920375391
232	0.9203113713
233	0.9201816547
