iter	Passed	Remaining
0	138	138552
1	268	133937
2	392	130290
3	523	130420
4	650	129463
5	772	128050
6	893	126783
7	1016	126100
8	1145	126151
9	1296	128390
10	1431	128720
11	1555	128054
12	1687	128087
13	1817	127980
14	1950	128073
15	2088	128440
16	2211	127851
17	2336	127458
18	2456	126849
19	2596	127220
20	2763	128839
21	2917	129679
22	3043	129301
23	3196	129978
24	3334	130028
25	3463	129749
26	3595	129555
27	3727	129403
28	3857	129165
29	3980	128707
30	4106	128355
31	4231	128009
32	4348	127420
33	4470	127020
34	4593	126649
35	4710	126135
36	4848	126188
37	4975	125960
38	5121	126189
39	5256	126162
40	5375	125731
41	5512	125729
42	5637	125462
43	5763	125232
44	5878	124748
45	6001	124463
46	6132	124348
47	6255	124073
48	6369	123628
49	6482	123173
50	6637	123503
51	6787	123734
52	6932	123871
53	7056	123618
54	7193	123591
55	7314	123298
56	7447	123202
57	7594	123337
58	7734	123353
59	7855	123065
60	7973	122733
61	8098	122516
62	8209	122104
63	8327	121789
64	8463	121740
65	8573	121325
66	8686	120956
67	8808	120728
68	8934	120556
69	9058	120345
70	9188	120229
71	9319	120111
72	9444	119930
73	9567	119719
74	9694	119568
75	9811	119286
76	9944	119209
77	10063	118958
78	10173	118600
79	10302	118480
80	10412	118133
81	10527	117853
82	10672	117908
83	10824	118038
84	10965	118039
85	11095	117927
86	11213	117674
87	11335	117474
88	11460	117312
89	11582	117113
90	11696	116836
91	11831	116769
92	11940	116447
93	12056	116201
94	12161	115858
95	12296	115795
96	12446	115872
97	12576	115751
98	12688	115476
99	12806	115257
100	12914	114955
101	13038	114792
102	13160	114609
103	13286	114465
104	13409	114298
105	13526	114081
106	13634	113789
107	13754	113598
108	13864	113329
109	13976	113086
110	14103	112952
111	14216	112714
112	14342	112580
113	14450	112311
114	14575	112167
115	14717	112156
116	14850	112079
117	14974	111930
118	15095	111756
119	15239	111754
120	15350	111516
121	15468	111319
122	15588	111148
123	15724	111088
124	15842	110899
125	15938	110556
126	16062	110410
127	16169	110152
128	16265	109824
129	16390	109688
130	16507	109502
131	16611	109235
132	16720	108998
133	16837	108816
134	16955	108642
135	17086	108548
136	17212	108424
137	17335	108284
138	17474	108240
139	17581	107999
140	17695	107805
141	17801	107561
142	17930	107455
143	18063	107379
144	18179	107196
145	18297	107026
146	18404	106796
147	18519	106611
148	18645	106494
149	18767	106350
150	18910	106325
151	19020	106115
152	19169	106123
153	19290	105972
154	19407	105799
155	19536	105697
156	19652	105520
157	19778	105401
158	19879	105151
159	19982	104908
