FORE_data,t2m_catboost_global_q,rh2m_catboost_global_q,w10m_catboost_global_q
90001_00,14.0,31.0,1.8
90001_01,16.4,24.0,1.8
90001_02,17.2,23.0,2.7
90001_03,17.6,23.0,2.1
90001_04,17.795643116090766,22.220079142896736,1.9834905755363152
90001_05,17.02788473789255,23.365909536900077,1.6869694319186663
90001_06,14.176027440713629,32.19974341886386,1.160289202950115
90001_07,11.136782148344363,42.220296565750076,0.9369729118457913
90001_08,9.113150582581016,51.96793297620687,0.8579630391847817
90001_09,7.672672689311994,58.29548558674652,0.872611479286526
90001_10,6.579343224437096,63.60200000808,0.8888127385816428
90001_11,5.665793705079033,66.61416031337572,0.8803023434523334
90001_12,4.805688262811932,69.8147935465289,0.9042403637655313
90001_13,4.435989644429658,72.17230053940868,0.9562568827646195
90001_14,4.099262708095767,75.24962856743494,0.9742321786165281
90001_15,3.8890581301983786,76.79157524043369,1.0080126438241408
90001_16,3.4442795875572663,79.18130875963858,1.0005201472053642
90001_17,3.120843869151477,80.62598291064576,1.032332096913777
90001_18,2.8712223078908967,80.91578576230812,1.0599456776968297
90001_19,2.801909001814984,81.35491141431366,1.008739336385248
90001_20,2.7915446317877626,81.21432686249096,0.9949442694616719
90001_21,4.779649838370515,75.51557161463059,1.0352395566265553
90001_22,8.479714261483936,61.868231015459365,1.0916859987688272
90001_23,11.776989652339118,48.92041290543011,1.1561152500790974
90001_24,13.923434676251665,41.504416659312966,1.281528970463495
90001_25,15.301660128683922,37.94213922669035,1.4991219268405096
90001_26,16.532403403588546,35.30850870208663,1.7314035987579102
90001_27,17.291650967984488,35.32758656382364,2.019326723572789
90001_28,17.61636220349084,36.67434550335689,2.0417635231223734
90001_29,17.166290731495632,40.54063709831843,1.7444790461881652
90001_30,14.731215994533104,49.55894193919395,1.1975568357400705
90001_31,12.440700999541605,58.31013035374905,1.033635319225043
90001_32,10.825130796735387,66.38601331221228,1.0181903272232022
90001_33,9.848659864853412,71.70045021964238,1.0063664503481478
