FORE_data,t2m_catboost_q,rh2m_catboost_q,w10m_catboost_q
90001_00,13.6,44.0,0.9
90001_01,15.4,39.0,1.1
90001_02,16.4,38.0,1.4
90001_03,17.3,38.0,1.7
90001_04,17.515398890972225,38.52530801871247,1.8067524213556942
90001_05,16.97057105042865,40.439077790985216,1.7435142985432484
90001_06,14.605535783854089,50.473114588794836,1.245339193537125
90001_07,12.12457506388729,59.58051886857444,1.1427561478438981
90001_08,10.550228287112587,66.57616899813425,1.164898229357752
90001_09,9.343191159217202,71.05877173656368,1.1367965709644188
90001_10,8.99077016215099,74.15615221056437,1.247738741633407
90001_11,8.701904894509035,75.30746020688106,1.3565106628286363
90001_12,8.265644929410843,77.73715246100625,1.437177612415471
90001_13,8.177899557937357,79.87663035182659,1.4331155032407503
90001_14,8.127317064075351,81.62551180634472,1.4102016448298818
90001_15,7.793084499981375,83.10432376606481,1.3239239202106432
90001_16,7.378297388706949,84.37116605352752,1.2794965346838068
90001_17,7.021684796443512,86.28054480357217,1.2148057553467229
90001_18,6.25633347197451,87.10140870867184,1.2016896321280532
90001_19,5.963903267957193,87.85303546898143,1.172760757374385
90001_20,5.54469899202934,87.76449957450933,1.086647773652635
90001_21,7.109972087917946,84.33951979328525,1.0857474019818243
90001_22,10.497686292396438,74.60975921870488,1.2150629213779065
90001_23,13.122382902651967,62.671551717270376,1.4400460724828845
90001_24,15.041715717649556,54.240286267734255,1.7033914750098185
90001_25,16.31219146686991,49.3291558939372,1.8200898733784525
90001_26,17.41646509764489,45.70008205423865,1.9625184808535456
90001_27,17.83657564918223,43.99629612377189,2.1478994048443574
90001_28,18.090174899573476,43.15278788833934,2.2181804604623627
90001_29,17.374771639062015,45.14067728881532,2.001886666196874
90001_30,15.454287008582957,54.585165118128415,1.4249829781958823
90001_31,13.427917846511821,63.02965180888581,1.2085240074977495
90001_32,11.74828411293205,69.19314792572351,1.1612045006281775
90001_33,10.347158178992718,73.71291219699323,1.1744105245303345
90001_34,9.539121921828038,76.23292428464262,1.2268975368906003
90001_35,9.287558898257824,79.29649188803873,1.3124796450561635
90001_36,9.29843730911883,81.24965084997937,1.407470081571921
90002_00,11.9,53.0,1.5
90002_01,13.3,48.0,1.7
90002_02,14.3,46.0,0.7
90002_03,15.5,46.0,1.5
90002_04,16.321741168456978,43.879521482011754,1.6451962756248737
90002_05,16.086458829652432,45.271695141867724,1.4386625227306233
90002_06,14.200224921903798,54.41952878694725,1.1086617802954348
90002_07,12.946263736785156,62.5255361493749,1.031751181840753
90002_08,11.209059013309243,70.21844867961994,1.0032869224244596
90002_09,9.754590507971765,77.4058584161676,1.0174655432203092
90002_10,8.920872185489094,80.93883039466644,1.0176811526879215
90002_11,8.209438625644333,83.66061672545767,1.0192699029976353
90002_12,7.741940971101303,84.87405385869995,1.0319758235454797
90002_13,7.401084597133106,86.11335450175595,1.0261688932236406
90002_14,7.414590687419159,87.07974751239841,1.0123376491834664
90002_15,7.1927912499431,87.4769276289303,1.0186234921948674
90002_16,7.038408612445664,87.64209616373044,1.017786625666537
90002_17,6.6790307349822555,88.12229262778949,1.0041504472722655
90002_18,6.429418179844294,87.92820697487052,1.0222604080015842
90002_19,5.991403573422299,87.43254848410054,1.0075406972197565
90002_20,5.840807467336803,86.93966257305382,1.0437998965187631
90002_21,7.198742344513387,83.01752250216458,1.1755833550308914
90002_22,9.04893238288016,75.9127553687215,1.198220942391057
90002_23,10.545094724811374,68.87379084220544,1.2697686055061879
90002_24,12.211330828377097,61.18399658434187,1.3036758166225946
90002_25,13.708627716739576,56.45044374307415,1.393981346930718
90002_26,14.955919423739177,53.36135602759002,1.5226742452001751
90002_27,16.194058365081275,51.460270102680795,1.7040861702202752
90002_28,16.747375997532775,49.006603061817515,1.96983783445828
90002_29,16.570787827422716,48.84238038917,1.7760411956442528
90002_30,15.064570114856469,54.51731055613105,1.198411252257363
90002_31,13.409932738510998,63.27110033996149,1.0307715219296156
90002_32,11.841971162917382,71.10336209295885,1.030132599488326
90002_33,10.579965953860684,78.71595632883354,1.034866440962893
90002_34,9.666450569813367,81.02018419725769,1.006550064310043
90002_35,9.25784508487324,83.66580313833967,1.024646749000285
90002_36,8.685906123777508,85.3718569955786,1.0390553657323096
90003_00,10.5,37.0,1.2
90003_01,13.1,35.0,2.2
90003_02,13.9,38.0,2.7
90003_03,15.4,38.0,2.7
90003_04,15.558096105236274,40.057147694170446,3.5420852590991037
90003_05,14.86873668898835,43.66743191324984,3.7389402623827515
90003_06,13.512055295358572,48.93010921959839,3.3303010651377725
90003_07,12.199298164889806,52.63975193894882,2.5675400625112297
90003_08,11.151901639843315,58.12919420662709,1.9000175281221914
90003_09,10.213432508524855,63.01761324878874,1.4992863550687119
90003_10,9.364531437265189,67.4328027265111,1.3235072534302883
90003_11,8.86006486075162,69.28273010116689,1.383474992921513
90003_12,8.509960983172128,71.88940847488483,1.434930688589689
90003_13,7.609788116215561,74.44600084724438,1.3678958318418921
90003_14,7.405129736357353,77.65818084180808,1.2202640567281458
90003_15,6.715369905183606,79.50455603544634,1.1944711421013383
90003_16,6.378654286389331,81.21083006532054,1.105372013114622
90003_17,5.669648721312921,82.31732809460587,1.2020500377347294
90003_18,5.10424984566338,82.41553608375679,1.1496136297567088
90003_19,4.734188666898135,81.95844646405321,1.20571454776229
90003_20,4.417534808062696,81.70336653445544,1.2586957196859696
90003_21,5.393581710222102,77.91524344225428,1.3936845692068556
90003_22,8.093994134358901,70.09876987743922,1.590392525047208
90003_23,10.36878251461393,61.9275666881078,1.9341243144687463
90003_24,12.781029163399063,55.33412530627995,2.3875087985164094
90003_25,14.48361226315043,49.60402441002916,3.2036928974160332
90003_26,15.34860018006732,46.9230804436616,3.8236622168294385
90003_27,15.818880197141093,44.77343324273731,4.579021145360808
90003_28,15.988973988040671,45.49659478827551,5.00159493275102
90003_29,15.239596056068,48.00716233377741,4.958272439564243
90003_30,14.021714901088187,52.81847782827955,3.950763003575398
90003_31,12.653602829637826,58.09499430916803,3.128014230356146
90003_32,11.360440862627671,63.25371957323627,2.2064394847637967
90003_33,10.213908689774174,70.00249448561554,1.6094164469177994
90003_34,9.348311585011613,73.90418721925646,1.3568466293715427
90003_35,8.663488112130121,77.10917192948777,1.131715369718254
90003_36,8.326599002167805,79.5556705571576,1.0767440484930102
90004_00,11.7,50.0,0.55
90004_01,13.3,46.0,0.7
90004_02,14.7,43.0,3.1495
90004_03,15.8,42.0,2.02475
90004_04,16.138517531197845,41.23870151314703,2.040272578757187
90004_05,15.635274368234134,43.47499296948076,1.770800833412397
90004_06,13.030801168678984,52.622561912306395,1.1988394673404756
90004_07,10.280214156566169,63.5115936721296,0.9155583568177516
90004_08,8.277419344147203,72.12684408875882,0.8665641591396427
90004_09,6.883195566812227,80.63884014105193,0.8771328790644328
90004_10,6.419059083242638,84.41280948213559,0.8931966579229198
90004_11,5.868180622673309,87.11328185635045,0.863360394828229
90004_12,5.584241571289705,88.57653179637609,0.7951351336821717
90004_13,5.46829163832453,88.96068953902771,0.783562539928352
90004_14,5.193679853857758,89.63997519210012,0.7662872440005681
90004_15,5.03342834253607,89.796008784596,0.750003230336983
90004_16,4.768047428042142,90.67158909842813,0.7588703396508817
90004_17,4.686488372097464,91.84048265450103,0.7549625829847328
90004_18,4.2729461187182025,92.63191077933266,0.8202787008381627
90004_19,4.062330427285302,94.29187332169452,0.8348289934448258
90004_20,4.3966382397133135,94.86415711363603,0.8116653685910646
90004_21,6.154722019677114,92.69519499714521,0.8462866215973669
90004_22,9.116838698491689,85.18256218002549,0.8589869878451002
90004_23,11.765775799506958,73.33257057240536,0.9625862507315852
90004_24,13.642118268558276,63.91835207564414,1.1141173598197363
90004_25,15.154740039460751,58.38116089894792,1.2502383327215842
90004_26,16.115533524028624,52.94331713895657,1.518830918380864
90004_27,16.62974997784063,49.65476431715947,1.7050605154857066
90004_28,16.62047622774419,47.801629923975646,1.840981549740952
90004_29,16.028923056526118,49.710243868582594,1.529368456036976
90004_30,13.372255495827432,58.27837114431694,1.0771421172570157
90004_31,10.70179829967786,68.83353802077136,0.7871331873007515
90004_32,8.989692936778624,76.015993313594,0.7845003886136293
90004_33,8.070200476906148,82.82178394756511,0.8005765928925003
90004_34,7.097011704642277,86.53951041042963,0.8215321331309079
90004_35,6.930909194438994,89.14578696246495,0.8631271857334879
90004_36,7.1290693323802925,89.8079207476774,0.8735039521527199
90005_00,12.4,44.0,0.9
90005_01,13.3,42.0,1.3
90005_02,13.9,44.0,1.7
90005_03,14.6,43.0,2.3
90005_04,15.053248197082214,40.7871522711032,1.8660627529927332
90005_05,15.180745370210241,43.21259213403593,1.5914080765585388
90005_06,13.762531749144808,48.83741651030022,1.2600771221529732
90005_07,12.507637796694612,53.85406520742279,1.1376577942490742
90005_08,11.219017767504058,57.808729667153926,1.0639202446230065
90005_09,10.11858361256978,62.233843580333144,1.062015771240393
90005_10,9.126909401673462,65.97598234031462,1.072031803585268
90005_11,8.524573600723347,69.03724640075012,1.0669071391155343
90005_12,7.536287087344344,71.53438276697436,1.0736194777180355
90005_13,6.936282706160688,73.94857015170629,1.0650371663512095
90005_14,6.559957862581361,75.80317645078506,1.0873838811153034
90005_15,5.972698336126957,76.55261715126292,1.0780404220258786
90005_16,5.725654886129958,77.86246214738019,1.0891201914409296
90005_17,5.428843393554672,79.4498193266074,1.0728843209340784
90005_18,5.256139409831858,81.03022341501935,1.0546624491782546
90005_19,5.44277470562462,82.13418578968252,1.0090920584458978
90005_20,5.4572896761543,81.90089269386438,0.9760522101531653
90005_21,6.597934139240045,79.22012301040029,0.9751076103247261
90005_22,8.518571873392762,72.07448915966464,1.0116031849744211
90005_23,10.774623047736306,65.74931014194539,1.0602457556156621
90005_24,12.717459489901989,60.71921538533658,1.357376911470557
90005_25,13.993615864800123,56.29169769525846,1.4767113144852448
90005_26,14.8285317259603,53.272339343496874,1.5270124088551313
90005_27,15.629133678559493,52.037645827202645,1.5120315430423157
90005_28,16.38829005509699,52.2929181695671,1.5262553285476173
90005_29,15.962273287695227,54.37162472257695,1.4213640588013121
90005_30,14.774159667794663,58.52562961850962,1.185958356744035
90005_31,13.711404089797906,62.32745848324571,1.1073168929190251
90005_32,12.667242294450858,66.58965222752417,1.060556807253719
90005_33,11.564163591932404,70.45211236875103,1.0485516646827424
90005_34,10.97504343330249,74.58158798116555,1.0462288700750983
90005_35,10.09308674397992,76.63765746595755,1.03890586008714
90005_36,9.521158007947985,78.3470132820725,1.043741344976304
90006_00,15.1,49.0,4.5
90006_01,15.8,47.0,3.5
90006_02,15.8,46.0,5.7
90006_03,16.0,46.0,5.2
90006_04,15.214693224047792,46.91696228217716,3.7198895847950952
90006_05,13.637722910517363,50.51077460292898,2.932588237054877
90006_06,11.827922665593809,55.83525506603854,1.9963404110098704
90006_07,10.128909093769911,61.46688137979561,1.3901513592218298
90006_08,8.580583822341762,67.34342711515464,1.2078195449656122
90006_09,7.846163945548945,72.23595972605187,1.1616664095777232
90006_10,6.88370440819877,75.64254760326314,1.1614290924332797
90006_11,6.421374758349389,77.14327237914853,1.141050069978723
90006_12,6.206100481635182,78.25311604087022,1.1359670113928722
90006_13,5.889919140652428,78.69315637475664,1.1274951758623948
90006_14,5.565287546568075,78.29678117190777,1.0774932954009533
90006_15,5.583716584619939,78.2626156540268,0.9918893250341104
90006_16,5.621477154383139,78.73042543927829,1.0003202433815992
90006_17,5.524574158126713,78.46898076748505,0.9967105193940261
90006_18,5.218866205706868,79.40711831410808,0.9704072618862054
90006_19,4.991166949676052,79.57180071175256,0.937969245257759
90006_20,5.121139957301504,79.95384872535965,0.9065005767575063
90006_21,5.553715750830134,79.30752666992781,0.852711717052364
90006_22,7.701586830772221,73.04660107838932,0.802610103820551
90006_23,11.517312628663035,59.62911148027957,1.0825513752778761
90006_24,14.04796656006096,50.20172224580245,1.721864664775699
90006_25,15.694401929054143,44.023577753426565,2.1701267785363316
90006_26,16.425438560914177,41.27454382651992,2.544244989672441
90006_27,16.380744566136116,40.97825360955591,2.6613331621212937
90006_28,15.678323572830786,43.830896593147365,2.60227384905848
90006_29,14.165474954249534,48.85661806823369,2.2111078389020506
90006_30,12.321067019301548,56.74886064712095,1.5898040691702136
90006_31,10.433410974051412,63.94068144089474,1.269772364564116
90006_32,8.936216394223461,69.32725634123098,1.1244779341898221
90006_33,8.187815582688456,74.37329467528988,1.0765890946601089
90006_34,7.612183128981952,77.13362038421137,1.1003180620092945
90006_35,7.030069499337595,78.94086554831668,1.0922034812505161
90006_36,6.802366511660529,79.07803853800377,1.0864829952313786
90007_00,7.0,41.0,1.0
90007_01,10.1,36.0,1.9
90007_02,12.3,34.0,1.3
90007_03,15.0,33.0,1.0
90007_04,14.973732753661995,34.08252873637533,2.9570565321534095
90007_05,14.046809606792694,36.13188946793148,3.820383724000286
90007_06,12.6692680553557,41.447540443778394,3.640971713728116
90007_07,10.766967288033658,47.08336720167642,2.8362921835429376
90007_08,9.167943237898088,54.132149457145225,2.2912969322686223
90007_09,7.709809362704569,60.01791185208073,1.925996415876771
90007_10,6.503408029242141,66.86147830367342,1.7175176223166058
90007_11,5.610662491227903,70.87432287673026,1.5500370735877291
90007_12,4.491660697399888,74.62058490966605,1.3261517295218215
90007_13,3.723703550588366,78.46605627890112,1.1949323390766116
90007_14,2.7372899359190996,82.26667242689999,1.097036846118552
90007_15,2.060689643451259,84.87985516212196,0.9799528395684813
90007_16,1.1514638705635172,86.16552874836597,0.9742096670908648
90007_17,0.8399391181026348,87.33286488819743,0.9850100184570838
90007_18,0.76415155159589,88.38177744120891,0.9943052708878705
90007_19,0.7885177290460954,89.19434535169984,0.9623281501302493
90007_20,0.8835773439091612,90.3545225844102,0.9490705810118443
90007_21,1.5409347226107433,89.22050796630008,0.8996750125687364
90007_22,3.9861676842608778,81.98132823214183,0.8641362292191682
90007_23,7.566008775668247,69.36208792414051,0.9401282223344549
90007_24,10.69206876288584,56.297709243602085,1.1571021893334463
90007_25,13.379712881740664,48.34071058697344,1.5824919010975893
