FORE_data,t2m_lgb,rh2m_lgb,w10m_lgb
90001_00,15.9,26.0,4.8
90001_01,16.5,24.0,5.3
90001_02,16.1,25.0,5.9
90001_03,15.9,26.0,6.2
90001_04,15.908993503516557,24.870587497831888,6.020847428895702
90001_05,15.512465531338586,24.790183469264544,5.8993772413298995
90001_06,14.146522556876173,27.613477870076235,4.534633603103363
90001_07,12.948252569320607,31.68295646026404,4.195120300192224
90001_08,11.798005394712682,34.73800620953347,3.1638228094128955
90001_09,10.100883307090537,38.29380954521636,2.627163808904502
90001_10,9.227987644325806,42.17611210929258,2.215286582163628
90001_11,8.563720348524402,43.991435732378186,2.1357517138815294
90001_12,8.09775706712026,45.96479310428609,1.9601631386754106
90001_13,7.454184240196627,49.17497902243155,1.8630138573706683
90001_14,6.850787650274095,51.57128411921205,1.9344300532458716
90001_15,6.41546247281296,55.58471131663517,1.9390595300639133
90001_16,5.512578445692822,57.93918869898868,1.9106935990744771
90001_17,5.46095198486246,58.925392697138356,1.799920142302713
90001_18,5.043775846108302,59.157923734033155,1.742697709335275
90001_19,4.789371215349412,57.968250378855416,1.6260833849275007
90001_20,4.950320904714917,56.5260419396981,1.553497302616312
90001_21,6.879480233771227,44.06659277658141,1.5537057391558646
90001_22,9.14076187414952,31.94840823420097,2.526408488680425
90001_23,10.703618769441896,25.965898702702333,3.242121235017699
90001_24,12.05313597064956,22.795155486152655,4.253171153813815
90001_25,13.172943085904945,20.184436156046697,4.6782061467036264
90001_26,14.233540667199591,17.884882024808256,4.719691802964321
90001_27,14.81173668503984,16.50870236681566,4.6294602551674515
90001_28,15.37174879415152,16.12609859893231,4.393978357920673
90001_29,15.1097515213817,16.039574550468704,4.234420454792773
90001_30,13.431561646156576,18.55692514261492,3.4357957703495767
90001_31,11.243927022859983,24.27375921506335,3.1265458750352892
90001_32,9.866860457652983,29.723893360296827,2.710065507842424
90001_33,8.676319966169945,33.889667439460126,2.4026941441259497
90001_34,7.520168966681049,38.49010646875012,1.9289020757482302
90001_35,6.568282380245163,43.416987600724084,1.7641986648105425
90001_36,5.704264762856486,48.26058648082049,1.6180921492518479
90002_00,15.6,26.5,4.25
90002_01,15.8,27.0,6.5
90002_02,16.0,27.0,3.7
90002_03,15.4,30.0,4.3
90002_04,15.987143816053601,27.015467907822636,5.166467280961445
90002_05,15.59082686804984,25.184567489491318,4.953651151194617
90002_06,14.47675902495427,25.968365921562345,4.313048607102385
90002_07,13.505958930066042,28.338886065933686,3.754993517050048
90002_08,12.207104326526219,31.22669284030705,2.9594485436311224
90002_09,11.160132032247857,35.431558738337,2.5335161708787632
90002_10,10.308226388310436,38.63206355163166,2.4020293966776096
90002_11,9.928233015534946,43.27487487558774,2.170511634957896
90002_12,9.453496884851027,47.210439564820305,2.37456329138062
90002_13,8.843142270884783,50.254351513501376,2.689925911156722
90002_14,8.256156278248453,53.81857064037778,2.8372661752988724
90002_15,7.908117955624572,56.550994730694,2.595103551445324
90002_16,7.620264161162312,57.63215820657893,2.2634933930872134
90002_17,7.25655038160676,57.14168348053008,2.2192864572613744
90002_18,7.321260871826725,54.76295408755166,2.3094528092029263
90002_19,7.288382028384195,49.42861785098249,2.7783855630122503
90002_20,7.827563781716231,44.27315973194909,2.997671905659574
90002_21,8.510713848022412,36.769250997589644,3.568177202177959
90002_22,9.924857529520823,29.94871773931673,4.367575144623617
