FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M,t2m_catboost,rh2m_catboost,w10m_catboost,t2m_catboost_q,rh2m_catboost_q,w10m_catboost_q,t2m_lgb,rh2m_lgb,w10m_lgb,t2m_lgb_q,rh2m_lgb_q,w10m_lgb_q,t2m_lgb_global,rh2m_lgb_global,w10m_lgb_global,t2m_lgb_global_q,rh2m_lgb_global_q,w10m_lgb_global_q,t2m_catboost_global,rh2m_catboost_global,w10m_catboost_global,t2m_catboost_global_q,rh2m_catboost_global_q,w10m_catboost_global_q,t2m_seq2seq_global,rh2m_seq2seq_global,w10m_seq2seq_global
90001_00,13.7,22.0,2.8,14.105,35.424,3.706,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8,13.7,22.0,2.8
90001_01,14.8,21.0,3.4,13.191,24.473000000000006,5.734,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4,14.8,21.0,3.4
90001_02,15.3,21.0,2.9,13.832,23.84,4.507,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9,15.3,21.0,2.9
90001_03,15.9,20.0,1.6,14.287,23.331,3.26,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6,15.9,20.0,1.6
90001_04,16.4,20.0,3.2,14.658,23.124,2.865,16.206104543152055,18.712037892107038,2.2224954168121904,16.100309811311494,19.398141231506656,2.2485381071189288,15.937520570352993,18.16859343182416,2.4213144372477147,16.045556075355233,18.70050812873917,2.43769151279282,16.033901155920063,19.51277184218316,2.1175833273155447,16.136387886241288,19.67327736437352,2.147561402416504,16.095540699633087,19.14830697528701,2.0946560773941685,16.099355688247886,19.385729742748737,2.160983004499031,16.542369842529293,19.356414794921875,2.232688665390014
90001_05,16.2,20.0,1.6,14.443,23.72,2.724,15.255315809823024,20.05757508692934,2.171194896590237,15.457916632867276,20.47202555645639,2.234506564927337,15.489182285777824,17.954123244564983,2.340650813949076,15.537125904502098,19.57638735115761,2.2804199268244485,15.300276340075662,21.074640861846913,2.0213570417632343,15.385270362933946,20.615607199631096,2.078836840547347,15.581518901540791,20.599466887687296,1.9497117378880915,15.716832469625613,20.4655666638988,2.0577473497123493,15.697385787963867,21.560291290283203,1.7769482135772705
90001_06,14.2,25.0,0.8,10.685,31.021,1.231,12.920135636484735,29.1254385397359,1.5514570835135209,13.17065506456358,28.40848942451803,1.6093610885870524,13.068314139411699,25.069141156064443,1.5934428679242278,13.153687239652989,27.398806340550127,1.5783734650815893,12.69815172817884,28.03592521493035,1.450083595983252,12.926271620842705,28.930777886241675,1.4719237638207594,13.29066052327456,27.74031285188405,1.4343868682100422,13.226415059369323,28.57075589293505,1.4587740847550676,13.612793922424315,26.779848098754893,1.358994722366333
90001_07,9.2,40.0,1.2,9.323,34.376999999999995,1.979,10.225221325288686,39.90386289528424,1.4355250958775412,10.771006834252427,39.93831289265455,1.4592460665263318,9.891821956665776,39.2468984284016,1.4009649952253689,10.045856645078489,38.87213317056038,1.430896956087926,9.789046864760259,38.939799498635026,1.2801704751846077,9.81402296616386,42.17303159713161,1.2682628278199093,10.6484675406907,37.65953880105213,1.2887335424404345,10.599636583848707,38.159531994892795,1.2786659504270013,11.106104850769043,34.6878662109375,1.2474873065948486
90001_08,10.8,32.0,1.6,8.634,35.149,2.387,8.136195783204183,50.020948749734316,1.3216352468758752,8.475027418114518,49.17715156329338,1.291994535364238,7.447362638301949,52.69542653158838,1.3065800880496121,7.60880478912082,51.413116151252325,1.3282949313214192,7.408591690415642,49.70754595255942,1.1023190409646202,7.526125046279641,53.783978097369086,1.1019136985238622,8.596969190530986,46.23303895457379,1.1348320979894395,8.63297208327004,48.2700544467434,1.1529668024074249,8.834479331970215,43.63074493408203,1.1430063247680664
90001_09,9.8,34.0,1.5,7.492000000000001,37.828,1.546,6.4150675513613225,54.32108964074082,1.2221358076720397,6.9530030177436455,56.3402752977503,1.1820450093541683,6.259869875405327,57.7185939764576,1.2678375788177343,6.234312644246777,56.39739848369263,1.2826385947184806,6.175948537805798,56.11049557176941,1.0727666344340727,6.153919380980303,60.277091011712386,1.0963040142349758,7.064828239818892,51.77618925335688,1.0260818958954447,7.3055322055003975,54.78881224602858,1.029377199445406,7.06033182144165,49.7998275756836,0.9954758882522584
90001_10,5.5,54.0,,6.8020000000000005,39.548,1.211,5.212835629187461,59.42300387018231,1.1341980928269026,5.785312761037563,63.39854588960159,1.0800605532938772,4.946519829020208,61.11108655991771,1.1728770765075986,4.960887925147485,58.9196672555507,1.1915873792950007,5.055951569385728,61.02531798541296,1.026423139773072,5.006820671117664,64.34715735764422,1.031353663320299,5.863370741305388,56.391486059979584,0.9746796471648114,6.0918592500173485,59.46456330143338,0.9564988205335276,5.805074691772461,53.47980880737305,0.9759538769721984
