FORE_data,       t2m,      rh2m,      w10m
90001_00,13.6,44.0,0.9
90001_01,15.4,39.0,1.1
90001_02,16.4,38.0,1.3999999999999997
90001_03,17.3,38.0,1.7
90001_04,17.354673424094656,38.527166103037835,1.7869359284111326
90001_05,16.808643665492493,42.662106947502416,1.6031007623056304
90001_06,14.530203960601183,53.7306038886561,1.1317417606258198
90001_07,12.156791889045676,63.738850618963944,1.0542537205707827
90001_08,10.479950359019407,69.7346263905707,1.0894242287774245
90001_09,9.316170958032641,73.64533846675963,1.1075803367559327
90001_10,8.607695977457931,76.48249101879587,1.2165761483835484
90001_11,8.227325333780696,78.21439090612893,1.345360538906306
90001_12,7.909148654586858,79.63436031083565,1.3810177318069246
90001_13,7.799034371573343,81.10262037926594,1.419225021978855
90001_14,7.661653759743174,82.41109403134074,1.4325238665007578
90001_15,7.348994083578121,83.02506806419787,1.3616992118849371
90001_16,7.050856125726199,84.24583155659006,1.3321215110318427
90001_17,6.696739567648392,85.69350439145849,1.29469055755684
90001_18,6.303929564476962,87.0493229713169,1.2881779268230964
90001_19,6.082818341658701,88.13436711936605,1.2599756265720037
90001_20,6.135684449720254,87.93661884733575,1.19019213664759
90001_21,7.67597226861205,83.31819490967,1.1886283432780147
90001_22,10.424135690289338,73.04403114846333,1.2889158823429847
90001_23,12.997793095571039,61.10418590742487,1.5090465168705236
90001_24,14.751994761108719,53.82485926758084,1.7556671061502875
90001_25,15.801712124799579,48.85139838786181,1.8087142149406832
90001_26,16.736144670503062,45.67631133433134,1.9413562422974537
90001_27,17.32771396033405,43.44634445889003,2.1297088672525546
90001_28,17.64265565744409,42.80200710988593,2.1927577944497934
90001_29,17.085841704535454,45.94664101414744,1.937532341597019
90001_30,15.146226169853328,55.80230715242332,1.2794322232696882
90001_31,12.935255143909549,66.11566271335924,1.057830572489601
90001_32,11.377620906178166,72.42408474620969,1.060110149358177
90001_33,10.307262197659746,76.61366816302136,1.1165145857624628
90001_34,9.612473504760933,78.89592201887125,1.211082827518525
90001_35,9.262725995090795,80.84137881630546,1.3119585998011172
90001_36,9.175897712152713,82.00474118687963,1.3628468090349353
90002_00,11.9,53.0,1.5
90002_01,13.300000000000002,48.0,1.7
90002_02,14.300000000000002,46.0,0.6999999999999998
90002_03,15.5,46.0,1.5
90002_04,16.124721564542575,43.95528125237092,1.6068414174123173
90002_05,15.98229720157444,48.05887361689131,1.4256068011371095
90002_06,14.15436647036046,57.00440464878488,1.1293264977343602
90002_07,12.317488574441015,65.36881153453864,1.0691282617428832
90002_08,10.750976632330024,71.75571586125439,1.0466586086384282
90002_09,9.745071229224815,77.00741012371418,1.0321678818303333
90002_10,9.108108353871462,80.3168420755103,1.035475892484275
90002_11,8.518578261189775,82.34261907613852,1.0386628700638052
90002_12,8.028818672230429,84.36739212882237,1.0415764046843006
90002_13,7.6360443958991935,86.13772936545143,1.0280790239423812
90002_14,7.430851988295004,87.12834365819596,0.9965037362082357
90002_15,7.138331199570598,87.72761400710392,0.986372885982529
90002_16,6.9153623774955575,88.31919326187989,0.9977071991889144
90002_17,6.696450956868006,88.68095574016036,0.9899035236416941
90002_18,6.557940558716919,88.77376801616033,1.0057038472041893
90002_19,6.347645378607129,88.5543130736488,0.9987110470473732
90002_20,6.415067583085327,87.64237040585495,1.0600803629908073
90002_21,7.298032433869008,84.04912355473209,1.1850110863718115
90002_22,8.871625225518594,77.54228250227717,1.2044099348788104
90002_23,10.457937006520334,70.2274702532414,1.2461890767765358
90002_24,12.228745152519851,63.86161593298349,1.2882157716686486
90002_25,13.485466821660188,59.40232489293614,1.386298238844948
90002_26,14.581880614004113,54.94181214544533,1.5480284823693244
90002_27,15.709598122097773,51.92381436684385,1.753907913596131
90002_28,16.599849682071774,49.91869932819318,2.060005932288025
90002_29,16.491046747581848,51.553517998049195,1.8493120251816277
90002_30,14.833357978987488,58.467021394267114,1.2842903800573922
90002_31,13.064611669237232,67.30725331916445,1.084986657361329
90002_32,11.564301551696012,74.3622036330985,1.0494367714000454
90002_33,10.531855952018,79.1494131658538,1.0548409081426477
90002_34,9.918930695841867,81.64780290774506,1.042903359798003
90002_35,9.341382187716716,83.59277971575392,1.0513052936646623
90002_36,8.955298096093898,85.20318574965903,1.0610369723360689
90003_00,10.5,37.0,1.2
90003_01,13.1,35.0,2.2
90003_02,13.9,38.0,2.7000000000000006
90003_03,15.4,38.0,2.7000000000000006
90003_04,15.401378605584696,39.06479864789442,4.087620168685239
90003_05,14.534280197078624,42.668832881621405,4.242249131045585
90003_06,12.976522079854021,48.36725312510947,3.7798306626719858
90003_07,11.59697090966156,53.820629641821334,3.0495135215426057
90003_08,10.324725889421405,59.18660438661581,2.305576831976191
90003_09,9.475082047224806,63.80594992555179,1.7742018274962106
90003_10,8.684928806100558,67.76237661233125,1.5330979783040932
90003_11,8.323241445139294,70.66564456850558,1.5319326323663807
90003_12,7.86887564014814,73.13882956375137,1.5498503769711844
90003_13,7.271575174718705,75.39859869275507,1.5036951570777155
90003_14,6.776918883462945,77.72783525499923,1.4286110651975623
90003_15,6.2537002273654965,79.42067959265252,1.3918358503281112
90003_16,5.725252029442193,80.83512295857024,1.303416339852947
90003_17,5.156169738113195,82.25097823727599,1.3469928568023934
90003_18,4.584623967603151,82.97980135094268,1.3131181135440266
90003_19,4.128405873747471,83.44346431879326,1.3446283032979727
90003_20,3.986809132846453,83.16403746745341,1.4331331715515203
90003_21,5.129945192344006,79.17473339307186,1.6359812840199017
90003_22,7.905727542602079,70.6864521028707,1.8375650078292622
90003_23,10.685309298972877,60.4652802233306,2.1600627697133343
90003_24,13.05889017440717,51.81008112331326,2.5257661902190276
90003_25,14.470443969309068,46.09790158607361,3.3932356852104975
90003_26,15.22315991187339,43.192424397296776,4.156849047863992
90003_27,15.682824209007725,41.934160369626724,4.738083131880734
90003_28,15.664376341759693,43.21618868347533,5.11715309084523
90003_29,14.745805829733122,46.738598041160735,4.951636831815004
90003_30,13.300033389897221,51.76213168092048,4.1126222989248715
90003_31,12.02698174216797,56.946306657747094,3.2976528830469705
90003_32,10.892616399454425,61.808091158069864,2.4985590447046673
90003_33,10.02332178600457,66.54526965895522,1.9011066854665053
90003_34,9.27537995338753,70.12991834215175,1.6243555027577432
90003_35,8.757067689573494,73.25255690543564,1.4260367750098484
90003_36,8.431490880749292,75.52339471045434,1.3134969931818257
90004_00,11.699999999999998,50.0,0.55
90004_01,13.300000000000002,46.0,0.6999999999999998
90004_02,14.699999999999998,43.0,3.1495
90004_03,15.800000000000002,42.0,2.02475
90004_04,16.130647111856643,43.039796247801384,1.9369035510806976
90004_05,15.564442594859374,46.685090224934584,1.6453778393197487
90004_06,13.046728593939463,57.332599660634905,1.1179994290925837
90004_07,10.46420885355946,67.72299408082691,0.8193701125226843
90004_08,8.696356969159504,75.42576500218767,0.8060555406910924
90004_09,7.522925469681268,81.27554278036388,0.8478051906168403
90004_10,6.702810274341686,84.60818142514337,0.8646790969710757
90004_11,6.180741730554312,86.36314942735714,0.8254554991913235
90004_12,5.851065864683531,87.59109405573008,0.7608383541247351
90004_13,5.520985185439037,88.22347231334818,0.7624987115277109
90004_14,5.202636618724004,88.99280664116812,0.7552408477958205
90004_15,4.995275418966339,89.62923128036765,0.7566003118571212
90004_16,4.7829693110647185,90.34704150129558,0.7749980938031774
90004_17,4.619958653905631,91.0568114675811,0.7874628080820038
90004_18,4.46985841162219,91.78899856415678,0.8482112257849059
90004_19,4.408079187339371,92.08299977373251,0.881385286898659
90004_20,4.679541480668917,92.10441812396134,0.859545726639726
90004_21,6.293076974427905,89.4337373798295,0.8637007993066943
90004_22,8.65779837906117,80.79524656979795,0.8892139011759905
90004_23,11.334683372723264,68.70587803226142,0.9782118947870377
90004_24,13.664132205381945,58.90069556481831,1.1052881017558824
90004_25,15.276006611190084,53.186955182129395,1.2644739842443002
90004_26,16.14870139864568,49.58023154637971,1.5432780750376336
90004_27,16.69298912738221,47.95621947898032,1.8046177778455215
90004_28,16.72500009373898,47.92678962434268,1.8470223540585708
90004_29,16.002844485084818,51.14444812806814,1.556217494247731
90004_30,13.578538290142973,61.64067760214116,1.0658422558416767
90004_31,11.158703909741527,71.45244789618809,0.7587254380206184
90004_32,9.529596708061876,78.61358368932493,0.7396399138351871
90004_33,8.600501230090677,83.73230460408102,0.8314076104801691
90004_34,7.98482149306933,86.51031491719844,0.8822635674452991
90004_35,7.636043089878972,88.21556254871093,0.9143762784396084
90004_36,7.525675440707228,89.48521519657267,0.9096340053172066
90005_00,12.4,44.0,0.9
90005_01,13.300000000000002,42.0,1.3
90005_02,13.9,44.0,1.7
90005_03,14.6,43.0,2.3
90005_04,15.011966576910458,39.990432803231805,1.731310437358588
90005_05,14.699059892080113,42.96183359791855,1.4885243841399383
90005_06,13.399014088191743,48.50583530735205,1.2220232257925598
90005_07,11.90417030124005,54.226196030335466,1.0920839371279396
90005_08,10.613981089771157,58.88055456573938,0.9967826204792093
90005_09,9.682305044382565,63.725893024579534,0.9691612880293655
90005_10,8.876362449060563,67.0301979429333,0.9756261365751481
90005_11,8.35042666223255,70.01660326295956,0.9741137446791611
90005_12,7.788551922127151,72.29964134898238,0.9764447798839805
90005_13,7.437070176965122,73.83834705093889,0.9724521111764846
90005_14,7.079706735246269,75.06161655629242,0.9789614564249559
90005_15,6.716724528772052,76.29017990628705,0.9733103589390749
90005_16,6.3763889013196575,77.64850134836671,0.9871781255521886
90005_17,6.156984933402144,78.93577304378137,0.9734082116667085
90005_18,5.953274446222882,80.21593558701808,0.9656648527699933
90005_19,5.978416666039787,81.30569080245195,0.9485617075133302
90005_20,6.073055641907146,81.69996370423048,0.9201522515116382
90005_21,7.126725782435912,79.92321978319686,0.9442997670962389
90005_22,9.126863622987294,73.45153682704775,0.993443944215802
90005_23,10.819484435251717,66.62448213897741,1.0899212845739066
90005_24,12.328371929160824,61.598045264288004,1.3614326180564786
90005_25,13.35471030370489,58.088056004872804,1.5136575107972636
90005_26,14.070892560363793,54.89271364195781,1.5800594870407156
90005_27,14.826830918259388,52.57239675486898,1.6005406618456108
90005_28,15.462548281717924,52.36106957750843,1.5524029455726345
90005_29,15.299522857709066,54.673764245705335,1.3959212256653082
90005_30,14.10341653414902,58.978263781604404,1.14641048950294
90005_31,12.823679997276749,63.46007224646539,1.0837862448836613
90005_32,11.774241063732106,67.44110607468834,1.0094346382949502
90005_33,10.850216435955181,70.90306668864643,0.9859008036777359
90005_34,10.14152980466499,73.65786834872915,0.9953383691465082
90005_35,9.60384903341391,75.31709241531752,0.9964407964080323
90005_36,9.172329719735282,76.88258999134905,1.0369933943058276
90006_00,15.1,49.0,4.5
90006_01,15.800000000000002,47.0,3.5
90006_02,15.800000000000002,46.0,5.7
90006_03,16.0,46.0,5.2
90006_04,15.04912015864325,45.62733271038322,3.280903024894048
90006_05,13.925581239694901,49.980877560725276,2.694032987586707
90006_06,12.147674229006773,56.82991868815549,1.9045246117078236
90006_07,10.477308077231926,63.53897196224491,1.480238761720812
90006_08,8.972029279040465,68.9352849461191,1.261269226749292
90006_09,8.034752249169037,73.3153898705103,1.180971813599557
90006_10,7.412028967194906,75.98953240901601,1.1842141428916417
90006_11,7.1041526328260245,77.82583479451655,1.1781387038078246
90006_12,6.829724219217469,79.35682461559702,1.1658930882555774
90006_13,6.568012091058609,80.46074456105386,1.1467193625203642
90006_14,6.321294196031807,81.78374088970867,1.1259513716723821
90006_15,6.135372816554779,82.84189402914181,1.0646972137312511
90006_16,6.003874659012492,83.89010867956496,1.0867195343289384
90006_17,5.757615541665518,84.61564395575802,1.1011446263322366
90006_18,5.4558919283673575,85.69940157694388,1.065959262191352
90006_19,5.185888064082839,86.46436364626584,1.0204364980698906
90006_20,5.266606011178314,86.69432497056134,0.9251293271481501
90006_21,6.144200826394226,84.95498688363547,0.8475314275090898
90006_22,8.31910847538757,77.14324761317552,0.8141061607586728
90006_23,11.914806578599624,62.15859609193936,1.084297063834533
90006_24,14.68145007788579,50.22629745779869,1.703893064505679
90006_25,15.810360333577373,45.01590390465909,2.2060156544482665
90006_26,16.008800794281086,43.179679723339234,2.701620520412741
90006_27,15.866878202993457,43.04512561993105,2.9064268067113246
90006_28,15.20057117912438,45.056366218121134,2.6989725425402327
90006_29,14.081790725283355,49.44825705047376,2.3628602156432743
90006_30,12.362172830245648,56.67284038634981,1.6454135546131106
90006_31,10.715800958394903,63.80742650450998,1.2648079027699384
90006_32,9.411123372632103,69.59215300703742,1.0905592526364225
90006_33,8.569599393806469,73.8044149816128,1.087249091451257
90006_34,8.017158425419742,76.84665301566365,1.1693915682961407
90006_35,7.67497598996687,78.9811521877714,1.1998834938021852
90006_36,7.458837131870561,80.84076725169034,1.1522062822106012
90007_00,7.0,41.0,1.0
90007_01,10.1,36.0,1.8999999999999997
90007_02,12.300000000000002,34.0,1.3
90007_03,15.0,33.0,1.0
90007_04,14.857078962395297,34.72673067747617,3.6492181694654526
90007_05,13.902071761510394,37.94341495170597,4.265344593887401
90007_06,12.488349785728502,43.114811349459636,3.8196804734018044
90007_07,10.723583906823992,49.36779670202794,2.7798833953877455
90007_08,9.021310521126644,55.66179787647459,2.185452258939137
90007_09,7.488355422093601,61.19937539705362,1.821640789545689
90007_10,6.239895991701843,66.71905408499471,1.6129668127539718
90007_11,5.272983357057004,70.77166021379757,1.4346653878194102
90007_12,4.328552534911489,74.01920459474795,1.2505597456314774
90007_13,3.6736792900292663,77.05115602691042,1.1451164995896936
90007_14,3.0719926449086152,79.78450259539777,1.060455597640052
90007_15,2.5930843558067855,82.28333232130882,0.9852993122997171
90007_16,2.113233395463372,83.78080029817663,0.9719653556559655
90007_17,1.8125232470488257,85.1643252680883,0.9936200869691678
90007_18,1.5707732422433194,86.51622146780387,0.9973021253586926
90007_19,1.4025156731404749,87.48929399906977,0.9789632660192229
90007_20,1.4953254471019086,88.33701521453305,0.936104762989428
90007_21,2.288876783350805,86.9314815016849,0.9165333913106454
90007_22,4.528645672293379,79.15684409045605,0.890087706336456
